Timestamp,Shoe,Which programme are you studying?,Your height (in International inches),Why are you taking this course?
2021/08/30 1:20:16 pm EET,45,"MSc Software Design, ITU",73.62,It'll give me business skills
2021/08/30 1:26:51 pm EET,44,"MSc Software Design, ITU",71,This was mandatory for me;It'll give me business skills
2021/08/30 1:31:52 pm EET,45,"MSc Software Design, ITU",196,This was mandatory for me
2021/08/30 2:28:06 pm EET,36,"MSc Software Design, ITU",165,"This was mandatory for me;I'm not sure, let's see how it works out"
2021/08/30 2:28:06 pm EET,40,"MSc Software Design, ITU",174,"I'm not sure, let's see how it works out"
2021/08/30 2:28:23 pm EET,39,"MSc Software Design, ITU",69,It'll give me business skills
2021/08/30 2:28:26 pm EET,42,"MSc Software Design, ITU",179,"The other courses were even less attractive;It is the most exciting;This was mandatory for me;I'm not sure, let's see how it works out"
2021/08/30 2:28:44 pm EET,44,MSc elsewhere,182,"The other courses were even less attractive;I'm not sure, let's see how it works out"
2021/08/30 2:28:45 pm EET,36,"MSc Software Design, ITU",5.4,"The other courses were even less attractive;I'm not sure, let's see how it works out"
2021/08/30 2:28:54 pm EET,43,"MSc Software Design, ITU",176,"I'm not sure, let's see how it works out"
2021/08/30 2:28:58 pm EET,38,"MSc Software Design, ITU",163,It is the most exciting;This was mandatory for me;It'll give me business skills
2021/08/30 2:28:59 pm EET,41,"MSc Software Design, ITU",68.11,This was mandatory for me
2021/08/30 2:29:04 pm EET,38,"MSc Software Design, ITU",67,"It is the most exciting;I'm not sure, let's see how it works out;It'll give me business skills"
2021/08/30 2:29:04 pm EET,39,"MSc Software Design, ITU",70.01,It is the most exciting;It'll give me business skills
2021/08/30 2:29:08 pm EET,44,"MSc Software Design, ITU",76.77,It is the most exciting;This was mandatory for me;It'll give me business skills
2021/08/30 2:29:08 pm EET,39,"MSc Software Design, ITU",69,"I'm not sure, let's see how it works out"
2021/08/30 2:29:15 pm EET,39,"MSc Software Design, ITU",76,This was mandatory for me
2021/08/30 2:29:19 pm EET,39,"MSc Software Design, ITU",66.9,It is the most exciting
2021/08/30 2:29:23 pm EET,37.5,"MSc Software Design, ITU",0,This was mandatory for me;It'll give me business skills
2021/08/30 2:29:24 pm EET,44,"MSc Software Design, ITU",184,It'll give me business skills
2021/08/30 2:29:25 pm EET,46,MSc elsewhere,75,It is the most exciting;It'll give me business skills
2021/08/30 2:29:30 pm EET,43,"MSc Software Design, ITU",72,The other courses were even less attractive;It is the most exciting;This was mandatory for me;It'll give me business skills;specialization
2021/08/30 2:29:37 pm EET,40,"MSc Software Design, ITU",69,It is the most exciting;This was mandatory for me;It'll give me business skills
2021/08/30 2:29:38 pm EET,37,MSc elsewhere,66.5,"I'm not sure, let's see how it works out;I was a TA in ITU and decised to take some course here since I like your University"
2021/08/30 2:29:39 pm EET,40.5,"MSc Software Design, ITU",67,This was mandatory for me
2021/08/30 2:29:40 pm EET,43,MSc elsewhere,74,It is the most exciting;It'll give me business skills
2021/08/30 2:29:48 pm EET,46,"MSc Software Design, ITU",76,"complements modern AI, hopefully"
2021/08/30 2:29:52 pm EET,39,"MSc Software Design, ITU",5.5,This was mandatory for me
2021/08/30 2:29:53 pm EET,37,"MSc Software Design, ITU",64.9,It is the most exciting;This was mandatory for me;It'll give me business skills
2021/08/30 2:29:55 pm EET,43,"MSc Software Design, ITU",70.8,"The other courses were even less attractive;I'm not sure, let's see how it works out"
2021/08/30 2:30:03 pm EET,38,"MSc Software Design, ITU",64,It is the most exciting
2021/08/30 2:30:09 pm EET,35,"MSc Software Design, ITU",59,It is the most exciting
2021/08/30 2:30:09 pm EET,47,"MSc Software Design, ITU",74.41,It is the most exciting
2021/08/30 2:30:10 pm EET,42,"MSc Software Design, ITU",71.6535,It'll give me business skills;as a compliment to AI
2021/08/30 2:30:13 pm EET,47,MSc elsewhere,76,The other courses were even less attractive
2021/08/30 2:30:14 pm EET,38,"MSc Software Design, ITU",66,It is the most exciting
2021/08/30 2:30:17 pm EET,42,MSc elsewhere,75.6,It is the most exciting
2021/08/30 2:30:17 pm EET,43.13231,"MSc Software Design, ITU",72,It is the most exciting;This was mandatory for me;Business skills in terms of having the ability to interpret data and the insights gotten out of it
2021/08/30 2:30:24 pm EET,43,MSc elsewhere,72.441,This was mandatory for me;It'll give me business skills
2021/08/30 2:30:30 pm EET,41,"MSc Software Design, ITU",69,It is the most exciting;It'll give me business skills
2021/08/30 2:30:34 pm EET,39,"MSc Software Design, ITU",67,This was mandatory for me
2021/08/30 2:30:59 pm EET,36,"MSc Software Design, ITU",65,It is the most exciting
2021/08/30 2:31:08 pm EET,42,"MSc Software Design, ITU",70,It is the most exciting
2021/08/30 2:31:34 pm EET,44,MSc elsewhere,180,The other courses were even less attractive;It is the most exciting;It'll give me business skills
2021/08/30 2:31:35 pm EET,38,"MSc Software Design, ITU",5.5,The other courses were even less attractive
2021/08/30 2:32:20 pm EET,38,MSc elsewhere,68.8976,It is the most exciting
2021/08/30 7:47:08 pm EET,42.5,"MSc Software Design, ITU",72,It is the most exciting;It'll give me business skills;Specialization track
2021/08/30 8:58:09 pm EET,45,"MSc Software Design, ITU",77.16,The other courses were even less attractive;It is the most exciting
2021/09/02 12:55:20 pm EET,38,"MSc Software Design, ITU",164,"I'm not sure, let's see how it works out"
2021/09/06 9:05:25 pm EET,44,"MSc Software Design, ITU",5.7,This was mandatory for me
